time	mode	theta	u	uh	u+uh	h
4.9E-06	0	2.606233358617704	0	0	0	0
4.9E-06	0	2.606233358617704	0	0	0	0
4.9E-06	0	2.606233358617704	0	0	0	0
0.1236803	0	2.606233358617704	0	0	0	0
0.1236803	0	2.606233358617704	0	0	0	0
0.2459129	0	2.606233358617704	0	0	0	0
0.2459129	0	2.606233358617704	0	0	0	0
0.3704951	0	2.606233358617704	0	0	0	0
0.3704951	0	2.606233358617704	0	0	0	0
0.4927953	0	2.606233358617704	0	0	0	0
0.4927953	0	2.606233358617704	0	0	0	0
0.6174875	0	2.606233358617704	0	0	0	0
0.6174875	0	2.606233358617704	0	0	0	0
0.7409718	0	2.606233358617704	0	0	0	0
0.7409718	0	2.606233358617704	0	0	0	0
0.8643092	0	2.606233358617704	0	0	0	0
0.8643092	0	2.606233358617704	0	0	0	0
0.9870971	0	2.606233358617704	0	0	0	0
0.9870971	0	2.606233358617704	0	0	0	0
1.1082752	0	2.606233358617704	0	0	0	0
1.1082752	0	2.606233358617704	0	0	0	0
1.2329719	0	2.606233358617704	0	0	0	0
1.2329719	0	2.606233358617704	0	0	0	0
1.3567548	0	2.606233358617704	0	0	0	0
1.3567548	0	2.606233358617704	0	0	0	0
1.4808199	0	2.606233358617704	0	0	0	0
1.4808199	0	2.606233358617704	0	0	0	0
1.602818	0	2.606233358617704	0	0	0	0
1.602818	0	2.606233358617704	0	0	0	0
1.7261868	0	2.606233358617704	0	0	0	0
1.7261868	0	2.606233358617704	0	0	0	0
1.8487339	0	2.606233358617704	0	0	0	0
1.8487339	0	2.604699377829819	0	0	0	0
1.9903654	0	2.604699377829819	0	0	0	0
1.9903654	0	2.606233358617704	0	0	0	0
2.1142906	0	2.606233358617704	0	0	0	0
2.1142906	0	2.604699377829819	0	0	0	0
2.2372935	0	2.604699377829819	0	0	0	0
2.2372935	1	2.606233358617704	0	0	0	0
2.359925	1	2.606233358617704	0	0	0	0.29088454618775983
2.359925	1	2.606233358617704	0	0	0	0.29088454618775983
2.4836518	1	2.606233358617704	0	0	0	0.29088454618775983
2.4836518	1	2.606233358617704	0	0	0	0.29088454618775983
2.6081225	1	2.606233358617704	0	0	0	0.29088454618775983
2.6081225	1	2.606233358617704	0	0	0	0.29088454618775983
2.7323808	1	2.606233358617704	0	0	0	0.29088454618775983
2.7323808	1	2.606233358617704	0	0	0	0.29088454618775983
2.8548648	1	2.606233358617704	0	0	0	0.29088454618775983
2.8548648	1	2.606233358617704	0	0	0	0.29088454618775983
2.97899	1	2.606233358617704	0	-1	-1	0.29088454618775983
2.97899	1	2.6000974354661617	0	-1	-1	0.29088454618775983
3.1025512	1	2.6000974354661617	0	-1	-1	0.3050336330378067
3.1025512	1	2.468175087707997	0	-1	-1	0.3050336330378067
3.2272655	1	2.468175087707997	0	-1	-1	0.5910260290879826
3.2272655	1	2.320912932070975	0	-1	-1	0.5910260290879826
3.3520309	1	2.320912932070975	0	-1	-1	0.8691600431210099
3.3520309	1	2.19972844982801	0	-1	-1	0.8691600431210099
3.4765404	1	2.19972844982801	0	-1	-1	1.065509592014336
3.4765404	1	2.0708740636456158	0	-1	-1	1.065509592014336
3.598885	1	2.0708740636456158	0	-1	-1	1.2420677226337913
