time	mode	theta	u	uh	u+uh	h
4.4E-06	0	2.6031653970419333	0	0	0	0
4.4E-06	0	2.6031653970419333	0	0	0	0
4.4E-06	0	2.6031653970419333	0	0	0	0
0.1236593	0	2.6031653970419333	0	0	0	0
0.1236593	0	2.604699377829819	0	0	0	0
0.2496539	0	2.604699377829819	0	0	0	0
0.2496539	0	2.604699377829819	0	0	0	0
0.374203	0	2.604699377829819	0	0	0	0
0.374203	0	2.6031653970419333	0	0	0	0
0.4982088	0	2.6031653970419333	0	0	0	0
0.4982088	0	2.604699377829819	0	0	0	0
0.6223272	0	2.604699377829819	0	0	0	0
0.6223272	0	2.604699377829819	0	0	0	0
0.7474633	0	2.604699377829819	0	0	0	0
0.7474633	0	2.6031653970419333	0	0	0	0
0.8723646	0	2.6031653970419333	0	0	0	0
0.8723646	0	2.604699377829819	0	0	0	0
0.9957678	0	2.604699377829819	0	0	0	0
0.9957678	0	2.604699377829819	0	0	0	0
1.1193713	0	2.604699377829819	0	0	0	0
1.1193713	0	2.604699377829819	0	0	0	0
1.2464249	0	2.604699377829819	0	0	0	0
1.2464249	0	2.604699377829819	0	0	0	0
1.3713282	0	2.604699377829819	0	0	0	0
1.3713282	0	2.604699377829819	0	0	0	0
1.4954087	0	2.604699377829819	0	0	0	0
1.4954087	0	2.604699377829819	0	0	0	0
1.6192937	0	2.604699377829819	0	0	0	0
1.6192937	0	2.604699377829819	0	0	0	0
1.7435809	0	2.604699377829819	0	0	0	0
1.7435809	0	2.6031653970419333	0	0	0	0
1.8687902	0	2.6031653970419333	0	0	0	0
1.8687902	0	2.604699377829819	0	0	0	0
1.9936712	0	2.604699377829819	0	0	0	0
1.9936712	0	2.6031653970419333	0	0	0	0
2.1183619	0	2.6031653970419333	0	0	0	0
2.1183619	0	2.604699377829819	0	0	0	0
2.2432507	0	2.604699377829819	0	0	0	0
2.2432507	0	2.604699377829819	0	0	0	0
2.3665379	0	2.604699377829819	0	0	0	0
2.3665379	0	2.6031653970419333	0	0	0	0
2.4904346	0	2.6031653970419333	0	0	0	0
2.4904346	0	2.604699377829819	0	0	0	0
2.6132464	0	2.604699377829819	0	0	0	0
2.6132464	0	2.604699377829819	0	0	0	0
2.7369594	0	2.604699377829819	0	0	0	0
2.7369594	0	2.6031653970419333	0	0	0	0
2.8608269	0	2.6031653970419333	0	0	0	0
2.8608269	0	2.604699377829819	0	0	0	0
2.9862015	0	2.604699377829819	0	0	0	0
2.9862015	0	2.6031653970419333	0	0	0	0
3.1093671	0	2.6031653970419333	0	0	0	0
3.1093671	0	2.604699377829819	0	0	0	0
3.2345485	0	2.604699377829819	0	0	0	0
3.2345485	0	2.6031653970419333	0	0	0	0
3.3581558	0	2.6031653970419333	0	0	0	0
3.3581558	0	2.604699377829819	0	0	0	0
3.4822783	0	2.604699377829819	0	0	0	0
3.4822783	0	2.604699377829819	0	0	0	0
3.6058216	0	2.604699377829819	0	0	0	0
3.6058216	0	2.6031653970419333	0	0	0	0
3.7293164	0	2.6031653970419333	0	0	0	0
3.7293164	0	2.6031653970419333	0	0	0	0
3.8542502	0	2.6031653970419333	0	0	0	0
3.8542502	0	2.6031653970419333	0	0	0	0
3.9783233	0	2.6031653970419333	0	0	0	0
3.9783233	0	2.6031653970419333	0	0	0	0
4.1035012	0	2.6031653970419333	0	0	0	0
4.1035012	0	2.604699377829819	0	0	0	0
4.2269855	0	2.604699377829819	0	0	0	0
4.2269855	0	2.604699377829819	0	0	0	0
4.3500066	0	2.604699377829819	0	0	0	0
4.3500066	0	2.604699377829819	0	0	0	0
4.4724433	0	2.604699377829819	0	0	0	0
4.4724433	0	2.604699377829819	0	0	0	0
4.5974574	0	2.604699377829819	0	0	0	0
4.5974574	0	2.6031653970419333	0	0	0	0
4.7210102	0	2.6031653970419333	0	0	0	0
4.7210102	0	2.604699377829819	0	0	0	0
4.8441947	0	2.604699377829819	0	0	0	0
4.8441947	0	2.604699377829819	0	0	0	0
4.9683095	0	2.604699377829819	0	0	0	0
4.9683095	0	2.604699377829819	0	0	0	0
5.0913913	1	2.604699377829819	0	-1	-1	0.29442887719144284
5.0913913	1	2.59702947389039	0	-1	-1	0.29442887719144284
5.2168862	1	2.59702947389039	0	-1	-1	0.3120799392981398
5.2168862	1	2.468175087707997	0	-1	-1	0.3120799392981398
5.3404619	1	2.468175087707997	0	-1	-1	0.5910260290879826
5.3404619	1	2.319378951283089	0	-1	-1	0.5910260290879826
5.463438	1	2.319378951283089	0	-1	-1	0.8718290220192668
5.463438	1	2.198194469040124	0	-1	-1	0.8718290220192668
5.5886613	1	2.198194469040124	0	-1	-1	1.0678067815774916
5.5886613	1	2.06934008285773	0	-1	-1	1.0678067815774916
5.7117454	1	2.06934008285773	0	-1	-1	1.2439695918912699
5.7117454	1	1.93895171588745	0	-1	-1	1.2439695918912699
5.8341371	1	1.93895171588745	0	-1	-1	1.3884273392858508
5.8341371	1	1.8116313104929418	0	-1	-1	1.3884273392858508
5.9594414	1	1.8116313104929418	0	-1	-1	1.496674495488177
5.9594414	1	1.6843109050984344	0	-1	-1	1.496674495488177
6.0836099	1	1.6843109050984344	0	-1	-1	1.5725006804308586
6.0836099	1	1.558524480491811	0	-1	-1	1.5725006804308586
6.2051727	1	1.558524480491811	0	-1	-1	1.6155758936908973
6.2051727	1	1.4342720366730743	0	-1	-1	1.6155758936908973
6.32927	1	1.4342720366730743	0	-1	-1	1.627057859020632
6.32927	1	1.3100195928543377	0	-1	-1	1.627057859020632
6.4530825	1	1.3100195928543377	0	-1	-1	1.60766248476051
6.4530825	1	1.1842331682477152	0	-1	-1	1.60766248476051
6.5769324	1	1.1842331682477152	0	-1	-1	1.556576166163537
6.5769324	1	1.0584467436410927	0	-1	-1	1.556576166163537
6.700838	1	1.0584467436410927	0.19461206514982873	-1	-0.8053879348501712	1.4738453983359285
6.700838	1	0.9357282806102409	0.19461206514982873	-1	-0.8053879348501712	1.4738453983359285
6.8236874	1	0.9357282806102409	0.4149250838927977	-1	-0.5850749161072023	1.3626363162473458
6.8236874	1	0.8375535101855602	0.4149250838927977	-1	-0.5850749161072023	1.3626363162473458
6.9498049	1	0.8375535101855602	0.5330253568202974	-1	-0.4669746431797026	1.251982908093618
6.9498049	1	0.7777282594580202	0.5330253568202974	-1	-0.4669746431797026	1.251982908093618
7.0723701	1	0.7777282594580202	0.5904424510915659	-1	-0.4095575489084341	1.1751010966195516
7.0723701	1	0.7194369895183659	0.5904424510915659	-1	-0.4095575489084341	1.1751010966195516
7.196256	1	0.7194369895183659	0.6390792247224867	-1	-0.3609207752775133	1.0933054516542764
7.196256	1	0.6718835850939109	0.6390792247224867	-1	-0.3609207752775133	1.0933054516542764
7.3207451	1	0.6718835850939109	0.6746570430946834	-1	-0.32534295690531656	1.0215441508921823
7.3207451	1	0.6289321230331129	0.6746570430946834	-1	-0.32534295690531656	1.0215441508921823
7.4450007	1	0.6289321230331129	0.7042870513547519	-1	-0.2957129486452481	0.9528401758001642
7.4450007	1	0.589048622548086	0.7042870513547519	-1	-0.2957129486452481	0.9528401758001642
7.569749	1	0.589048622548086	0.7300724485867817	-1	-0.26992755141321834	0.8857398792315595
7.569749	1	0.5553010452146019	0.7300724485867817	-1	-0.26992755141321834	0.8857398792315595
7.6935426	1	0.5553010452146019	0.7508231969839047	-1	-0.24917680301609535	0.826477834719143
7.6935426	1	0.5215534678811178	0.7508231969839047	-1	-0.24917680301609535	0.826477834719143
7.8186301	1	0.5215534678811178	0.7707717826276586	-1	-0.22922821737234145	0.7649379922549677
7.8186301	1	0.4908738521234053	0.7707717826276586	-1	-0.22922821737234145	0.7649379922549677
7.9451292	1	0.4908738521234053	0.7883423434695397	-1	-0.21165765653046031	0.7070160793955139
7.9451292	1	0.46019423636569234	0.7883423434695397	-1	-0.21165765653046031	0.7070160793955139
8.068795	1	0.46019423636569234	0.805494137380179	-1	-0.19450586261982095	0.6472116888899775
8.068795	1	0.43565054375952217	0.805494137380179	-1	-0.19450586261982095	0.6472116888899775
8.1917278	1	0.43565054375952217	0.8189929014195139	-1	-0.18100709858048614	0.5980127925803699
8.1917278	1	0.41264083194123735	0.8189929014195139	-1	-0.18100709858048614	0.5980127925803699
8.3153395	1	0.41264083194123735	0.8315296655189605	-1	-0.16847033448103954	0.5507946371583271
8.3153395	1	0.389631120122953	0.8315296655189605	-1	-0.16847033448103954	0.5507946371583271
8.4406971	1	0.389631120122953	0.8440108774418066	-1	-0.15598912255819342	0.5025175880603642
8.4406971	1	0.3696893698804393	0.8440108774418066	-1	-0.15598912255819342	0.5025175880603642
8.5648301	1	0.3696893698804393	0.8548334352993805	-1	-0.1451665647006195	0.4598209515131613
8.5648301	1	0.34821363885004075	0.8548334352993805	-1	-0.1451665647006195	0.4598209515131613
8.6910784	1	0.34821363885004075	0.8665541986313997	-1	-0.1334458013686003	0.4129504876207093
8.6910784	1	0.3313398501832987	0.8665541986313997	-1	-0.1334458013686003	0.4129504876207093
8.8141804	1	0.3313398501832987	0.8758587187492288	-1	-0.12414128125077117	0.3754765928715128
8.8141804	1	0.31293208072867085	0.8758587187492288	-1	-0.12414128125077117	0.3754765928715128
8.9406842	1	0.31293208072867085	0.8861624238013468	-1	-0.1138375761986532	0.3339465256299453
8.9406842	1	0.30066023442558576	0.8861624238013468	-1	-0.1138375761986532	0.3339465256299453
9.0653387	1	0.30066023442558576	0.8931556100537635	-1	-0.10684438994623646	0.305883318606351
9.0653387	1	0.2837864457588437	0.8931556100537635	-1	-0.10684438994623646	0.305883318606351
9.1884405	1	0.2837864457588437	0.9029924232422423	-1	-0.09700757675775773	0.26680461166386976
9.1884405	1	0.273048580243644	0.9029924232422423	-1	-0.09700757675775773	0.26680461166386976
9.3124886	1	0.273048580243644	0.909424445423122	-1	-0.09057555457687805	0.24163985338030508
9.3124886	1	0.2638446955163305	0.909424445423122	-1	-0.09057555457687805	0.24163985338030508
9.4368543	1	0.2638446955163305	0.915072847401826	-1	-0.08492715259817396	0.21988651899532943
9.4368543	1	0.2500388684253596	0.915072847401826	-1	-0.08492715259817396	0.21988651899532943
9.5620222	1	0.2500388684253596	0.923840806913613	-1	-0.07615919308638697	0.1869388493150881
9.5620222	1	0.23930100291015988	0.923840806913613	-1	-0.07615919308638697	0.1869388493150881
9.6848556	1	0.23930100291015988	0.9309744971702958	-1	-0.06902550282970421	0.1610493371377819
9.6848556	1	0.23163109897073175	0.9309744971702958	-1	-0.06902550282970421	0.1610493371377819
9.8089952	1	0.23163109897073175	0.9362872066612833	-1	-0.06371279333871671	0.14241564261625053
9.8089952	1	0.22089323345553247	0.9362872066612833	-1	-0.06371279333871671	0.14241564261625053
9.9332801	1	0.22089323345553247	0.9441207841572696	-1	-0.05587921584273037	0.11613081013326823
9.9332801	1	0.21322332951610434	0.9441207841572696	-1	-0.05587921584273037	0.11613081013326823
10.0556288	1	0.21322332951610434	0.9500862887967003	-1	-0.04991371120329968	0.0972147439648246
10.0556288	1	0.20708740636456158	0.9500862887967003	-1	-0.04991371120329968	0.0972147439648246
10.1974304	1	0.20708740636456158	0.955155316754558	-1	-0.044844683245441996	0.08199717953599535
10.1974304	1	0.2009514832130188	0.955155316754558	-1	-0.044844683245441996	0.08199717953599535
10.3206064	1	0.2009514832130188	0.960573739513779	-1	-0.039426260486221	0.06670431600132282
10.3206064	1	0.1963495408493623	0.960573739513779	-1	-0.039426260486221	0.06670431600132282
10.4449717	1	0.1963495408493623	0.9649417574262338	-1	-0.03505824257376622	0.05518525331211016
10.4449717	1	0.18867963690993372	0.9649417574262338	-1	-0.03505824257376622	0.05518525331211016
10.5710722	1	0.18867963690993372	0.9730814662858235	-1	-0.026918533714176518	0.035892691614449045
10.5710722	1	0.18714565612204836	0.9730814662858235	-1	-0.026918533714176518	0.035892691614449045
10.6950817	1	0.18714565612204836	0.9748942442432118	-1	-0.025105755756788195	0.03202006069257211
10.6950817	1	0.18407769454627676	0.9748942442432118	-1	-0.025105755756788195	0.03202006069257211
10.8188899	1	0.18407769454627676	0.9787964701711742	-1	-0.021203529828825785	0.024260680266470366
10.8188899	1	0.17794177139473444	0.9787964701711742	-1	-0.021203529828825785	0.024260680266470366
10.942289	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
10.942289	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.0666808	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.0666808	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.1892355	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.1892355	1	0.1794757521826198	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.3128436	1	0.1794757521826198	0.9857495087273577	-1	-0.01425049127264233	0.012586313171454847
11.3128436	1	0.17794177139473444	0.9857495087273577	-1	-0.01425049127264233	0.012586313171454847
11.436763	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.436763	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.5606818	1	0.17794177139473444	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.5606818	1	0.17640779060684864	0.9886068973623882	-1	-0.01139310263761184	0.008685445084886684
11.6840972	1	0.17640779060684864	0.9920476930472498	-1	-0.007952306952750177	0.004779870804202188
11.6840972	1	0.17487380981896328	0.9920476930472498	-1	-0.007952306952750177	0.004779870804202188
11.8079898	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
11.8079898	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
11.9320065	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
11.9320065	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.0563673	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.0563673	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.1809887	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.1809887	1	0.17333982903107747	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.3036496	1	0.17333982903107747	1.0060531993441133	-1	0.0060531993441133025	-0.0030453963395112877
12.3036496	1	0.17487380981896328	1.0060531993441133	-1	0.0060531993441133025	-0.0030453963395112877
12.4296772	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.4296772	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.5532785	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.5532785	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.6767606	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.6767606	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.8006976	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.8006976	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.9243355	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
12.9243355	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.0478521	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.0478521	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.1728266	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.1728266	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.2966583	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.2966583	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.422102	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.422102	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.5477936	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.5477936	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.6709619	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.6709619	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.7958138	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.7958138	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.9196873	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
13.9196873	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.042974	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.042974	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.1671312	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.1671312	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.2908032	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.2908032	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.4135416	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.4135416	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.5386061	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.5386061	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.6613758	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.6613758	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.7864602	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.7864602	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.9117814	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
14.9117814	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.0371293	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.0371293	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.1608736	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.1608736	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.2837031	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.2837031	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.4080145	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.4080145	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.5330717	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.5330717	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.675789	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.675789	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.7987311	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.7987311	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.9229057	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
15.9229057	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.0469989	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.0469989	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.1885446	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.1885446	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.1885446	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.3285528	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.3285528	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.4529059	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.4529059	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.577695	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.577695	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.7021834	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.7021834	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.8261012	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.8261012	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.9499817	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
16.9499817	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.0748163	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.0748163	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.1991298	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.1991298	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.3208217	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.3208217	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.4444019	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.4444019	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.5673874	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.5673874	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.6912829	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.6912829	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.8166511	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.8166511	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.9426356	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
17.9426356	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.0655996	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.0655996	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.1893028	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.1893028	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.3123233	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.3123233	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.4373912	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.4373912	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.5618793	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.5618793	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.6852159	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.6852159	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.8104189	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.8104189	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.935975	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
18.935975	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.0596526	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.0596526	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.1852218	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.1852218	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.308604	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.308604	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.4341478	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.4341478	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.5592061	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.5592061	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.6834561	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.6834561	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.8062286	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.8062286	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.9332945	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
19.9332945	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
20.057351	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
20.057351	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
20.1811693	1	0.17487380981896328	0.9971430044197346	-1	-0.00285699558026542	0.0008695903294036185
