time	mode	theta	u	uh	u+uh	h
5.5E-06	0	2.60776733940559	0	0	0	0
5.5E-06	0	2.60776733940559	0	0	0	0
5.5E-06	0	2.60776733940559	0	0	0	0
0.1243371	0	2.60776733940559	0	0	0	0
0.1243371	0	2.60776733940559	0	0	0	0
0.2474346	0	2.60776733940559	0	0	0	0
0.2474346	0	2.60776733940559	0	0	0	0
0.3738399	0	2.60776733940559	0	0	0	0
0.3738399	0	2.60776733940559	0	0	0	0
0.4977626	0	2.60776733940559	0	0	0	0
0.4977626	0	2.60776733940559	0	0	0	0
0.6238759	0	2.60776733940559	0	0	0	0
0.6238759	0	2.60776733940559	0	0	0	0
0.7474135	0	2.60776733940559	0	0	0	0
0.7474135	0	2.60776733940559	0	0	0	0
0.8724247	0	2.60776733940559	0	0	0	0
0.8724247	0	2.60776733940559	0	0	0	0
0.9949339	0	2.60776733940559	0	0	0	0
0.9949339	0	2.60776733940559	0	0	0	0
1.1176064	0	2.60776733940559	0	0	0	0
1.1176064	0	2.606233358617704	0	0	0	0
1.2407564	0	2.606233358617704	0	0	0	0
1.2407564	0	2.606233358617704	0	0	0	0
1.3635096	0	2.606233358617704	0	0	0	0
1.3635096	0	2.60776733940559	0	0	0	0
1.5037291	0	2.60776733940559	0	0	0	0
1.5037291	0	2.60776733940559	0	0	0	0
1.6297688	0	2.60776733940559	0	0	0	0
1.6297688	0	2.60776733940559	0	0	0	0
1.7533301	0	2.60776733940559	0	0	0	0
1.7533301	0	2.60776733940559	0	0	0	0
1.8776258	0	2.60776733940559	0	0	0	0
1.8776258	0	2.60776733940559	0	0	0	0
2.0011804	0	2.60776733940559	0	0	0	0
2.0011804	0	2.60776733940559	0	0	0	0
2.1256415	0	2.60776733940559	0	0	0	0
2.1256415	0	2.60776733940559	0	0	0	0
2.249585	0	2.60776733940559	0	0	0	0
2.249585	0	2.60776733940559	0	0	0	0
2.3737907	0	2.60776733940559	0	0	0	0
2.3737907	0	2.60776733940559	0	0	0	0
2.4976626	0	2.60776733940559	0	0	0	0
2.4976626	0	2.60776733940559	0	0	0	0
2.6237259	0	2.60776733940559	0	0	0	0
2.6237259	0	2.606233358617704	0	0	0	0
2.748113	0	2.606233358617704	0	0	0	0
2.748113	0	2.60776733940559	0	0	0	0
2.8726382	0	2.60776733940559	0	0	0	0
2.8726382	0	2.606233358617704	0	0	0	0
2.9958897	0	2.606233358617704	0	0	0	0
2.9958897	0	2.60776733940559	0	0	0	0
3.1188939	0	2.60776733940559	0	0	0	0
3.1188939	0	2.60776733940559	0	0	0	0
3.2425865	0	2.60776733940559	0	0	0	0
3.2425865	0	2.60776733940559	0	0	0	0
3.3674439	0	2.60776733940559	0	0	0	0
3.3674439	0	2.60776733940559	0	0	0	0
3.4921929	0	2.60776733940559	0	0	0	0
3.4921929	0	2.606233358617704	0	0	0	0
3.6161757	0	2.606233358617704	0	0	0	0
3.6161757	0	2.606233358617704	0	0	0	0
3.7405651	0	2.606233358617704	0	0	0	0
3.7405651	0	2.60776733940559	0	0	0	0
3.8668829	0	2.60776733940559	0	0	0	0
3.8668829	0	2.606233358617704	0	0	0	0
3.9909234	0	2.606233358617704	0	0	0	0
3.9909234	0	2.60776733940559	0	0	0	0
4.1144966	0	2.60776733940559	0	0	0	0
4.1144966	0	2.60776733940559	0	0	0	0
4.2397955	0	2.60776733940559	0	0	0	0
4.2397955	0	2.60776733940559	0	0	0	0
4.3627215	0	2.60776733940559	0	0	0	0
4.3627215	0	2.60776733940559	0	0	0	0
4.4868961	0	2.60776733940559	0	0	0	0
4.4868961	0	2.60776733940559	0	0	0	0
4.6112169	0	2.60776733940559	0	0	0	0
4.6112169	0	2.60776733940559	0	0	0	0
4.7347939	0	2.60776733940559	0	0	0	0
4.7347939	0	2.60776733940559	0	0	0	0
