time	mode	theta	u	uh	u+uh	h
5E-06	0	2.604699377829819	0	0	0	0
5E-06	0	2.604699377829819	0	0	0	0
5E-06	0	2.604699377829819	0	0	0	0
0.1347089	0	2.604699377829819	0	0	0	0
0.1347089	0	2.604699377829819	0	0	0	0
0.2587922	0	2.604699377829819	0	0	0	0
0.2587922	0	2.604699377829819	0	0	0	0
0.3813656	0	2.604699377829819	0	0	0	0
0.3813656	0	2.604699377829819	0	0	0	0
0.5062285	0	2.604699377829819	0	0	0	0
0.5062285	0	2.604699377829819	0	0	0	0
0.6300382	0	2.604699377829819	0	0	0	0
0.6300382	0	2.604699377829819	0	0	0	0
0.7525243	0	2.604699377829819	0	0	0	0
0.7525243	0	2.604699377829819	0	0	0	0
0.8743934	0	2.604699377829819	0	0	0	0
0.8743934	0	2.604699377829819	0	0	0	0
0.9987622	0	2.604699377829819	0	0	0	0
0.9987622	0	2.604699377829819	0	0	0	0
1.1232363	0	2.604699377829819	0	0	0	0
1.1232363	0	2.604699377829819	0	0	0	0
1.2472743	0	2.604699377829819	0	0	0	0
1.2472743	0	2.604699377829819	0	0	0	0
1.3713765	0	2.604699377829819	0	0	0	0
1.3713765	0	2.604699377829819	0	0	0	0
1.4948874	0	2.604699377829819	0	0	0	0
1.4948874	0	2.604699377829819	0	0	0	0
1.6177901	0	2.604699377829819	0	0	0	0
1.6177901	0	2.604699377829819	0	0	0	0
1.7405207	0	2.604699377829819	0	0	0	0
1.7405207	0	2.604699377829819	0	0	0	0
1.8640573	0	2.604699377829819	0	0	0	0
1.8640573	0	2.604699377829819	0	0	0	0
1.9866856	0	2.604699377829819	0	0	0	0
1.9866856	0	2.604699377829819	0	0	0	0
2.1097326	0	2.604699377829819	0	0	0	0
2.1097326	0	2.6031653970419333	0	0	0	0
2.2332216	0	2.6031653970419333	0	0	0	0
2.2332216	0	2.604699377829819	0	0	0	0
2.358845	0	2.604699377829819	0	0	0	0
2.358845	0	2.604699377829819	0	0	0	0
2.4831734	0	2.604699377829819	0	0	0	0
2.4831734	0	2.604699377829819	0	0	0	0
2.6077438	0	2.604699377829819	0	0	0	0
2.6077438	0	2.604699377829819	0	0	0	0
2.7309172	0	2.604699377829819	0	0	0	0
2.7309172	0	2.604699377829819	0	0	0	0
2.8533453	0	2.604699377829819	0	0	0	0
2.8533453	0	2.604699377829819	0	0	0	0
2.9768552	0	2.604699377829819	0	0	0	0
2.9768552	0	2.604699377829819	0	0	0	0
3.1010822	0	2.604699377829819	0	0	0	0
3.1010822	0	2.604699377829819	0	0	0	0
3.2259982	0	2.604699377829819	0	0	0	0
3.2259982	0	2.604699377829819	0	0	0	0
3.3498404	0	2.604699377829819	0	0	0	0
3.3498404	0	2.604699377829819	0	0	0	0
3.4747134	0	2.604699377829819	0	0	0	0
3.4747134	0	2.604699377829819	0	0	0	0
3.6141488	0	2.604699377829819	0	0	0	0
3.6141488	0	2.604699377829819	0	0	0	0
3.7380719	0	2.604699377829819	0	0	0	0
3.7380719	0	2.604699377829819	0	0	0	0
3.8632121	0	2.604699377829819	0	0	0	0
3.8632121	0	2.604699377829819	0	0	0	0
3.9882876	0	2.604699377829819	0	0	0	0
3.9882876	0	2.604699377829819	0	0	0	0
4.1107855	0	2.604699377829819	0	0	0	0
4.1107855	0	2.604699377829819	0	0	0	0
4.2350412	0	2.604699377829819	0	0	0	0
4.2350412	0	2.604699377829819	0	0	0	0
4.3596869	0	2.604699377829819	0	0	0	0
4.3596869	0	2.604699377829819	0	0	0	0
4.481411	0	2.604699377829819	0	0	0	0
4.481411	0	2.604699377829819	0	0	0	0
4.6043747	0	2.604699377829819	0	0	0	0
4.6043747	0	2.604699377829819	0	0	0	0
4.7275146	0	2.604699377829819	0	0	0	0
4.7275146	0	2.604699377829819	0	0	0	0
4.8502217	0	2.604699377829819	0	0	0	0
4.8502217	0	2.604699377829819	0	0	0	0
4.9742444	0	2.604699377829819	0	0	0	0
4.9742444	0	2.604699377829819	0	0	0	0
5.098236	1	2.604699377829819	0	-1	-1	0.29442887719144284
5.098236	1	2.59702947389039	0	-1	-1	0.29442887719144284
5.2225707	1	2.59702947389039	0	-1	-1	0.3120799392981398
5.2225707	1	2.4697090684958827	0	-1	-1	0.3120799392981398
5.3457652	1	2.4697090684958827	0	-1	-1	0.5879005493605509
5.3457652	1	2.320912932070975	0	-1	-1	0.5879005493605509
5.4701161	1	2.320912932070975	0	-1	-1	0.8691600431210099
5.4701161	1	2.198194469040124	0	-1	-1	0.8691600431210099
5.5938338	1	2.198194469040124	0	-1	-1	1.0678067815774916
5.5938338	1	2.0708740636456158	0	-1	-1	1.0678067815774916
5.7176431	1	2.0708740636456158	0	-1	-1	1.2420677226337913
5.7176431	1	1.9420196774632217	0	-1	-1	1.2420677226337913
5.841625	1	1.9420196774632217	0	-1	-1	1.3854189475763636
5.841625	1	1.8131652912808276	0	-1	-1	1.3854189475763636
5.9647903	1	1.8131652912808276	0	-1	-1	1.4955632668420529
5.9647903	1	1.688912847462091	0	-1	-1	1.4955632668420529
6.0879452	1	1.688912847462091	0	-1	-1	1.5703247182448272
6.0879452	1	1.5615924420675826	0	-1	-1	1.5703247182448272
6.2110358	1	1.5615924420675826	0	-1	-1	1.6149017742625515
6.2110358	1	1.437339998248846	0	-1	-1	1.6149017742625515
6.3504321	1	1.437339998248846	0	-1	-1	1.6271461430389496
6.3504321	1	1.2962137657633672	0	-1	-1	1.6271461430389496
6.4742452	1	1.2962137657633672	0.5689152325583595	-1	-0.4310847674416405	1.6036014345593943
6.4742452	1	1.178097245096172	0.5689152325583595	-1	-0.4310847674416405	1.6036014345593943
6.5991591	1	1.178097245096172	0.7606709151543777	-1	-0.23932908484562232	1.5532746852344055
6.5991591	1	1.1366797638232597	0.7606709151543777	-1	-0.23932908484562232	1.5532746852344055
6.7242783	1	1.1366797638232597	0.7942401861992009	-1	-0.2057598138007991	1.5290201467255586
