time	mode	theta	u	uh	h
0	0	0	0	0	0
0	0	2.7304858024364416	0	0	0
0.0833607	0	2.7304858024364416	0	0	0
0.0833607	0	2.709010071406042	0	0	0
0.2076837	0	2.709010071406042	0	0	0
0.2076837	0	2.2810294315859485	0	0	0
0.3307333	0	2.2810294315859485	0	0	0
0.3307333	0	1.905204138553966	0	0	0
0.4567239	0	1.905204138553966	0	0	0
0.4567239	0	1.6030099233404949	0	0	0
0.5802293	0	1.6030099233404949	0	0	0
0.5802293	0	1.3529710549151357	0	0	0
0.7032806	0	1.3529710549151357	0	0	0
0.7032806	0	1.150485590914231	0	0	0
0.8285162	0	1.150485590914231	0	0	0
0.8285162	0	0.9832816850346964	0	0	0
0.9528172	0	0.9832816850346964	0	0	0
0.9528172	0	0.8452234141249884	0	0	0
1.0769063	0	0.8452234141249884	0	0	0
1.0769063	0	0.727106893457794	0	0	0
1.2018255	0	0.727106893457794	0	0	0
1.2018255	0	0.6289321230331129	0	0	0
1.3256701	0	0.6289321230331129	0	0	0
1.3256701	0	0.5522330836388307	0	0	0
1.4499081	0	0.5522330836388307	0	0	0
1.4499081	0	0.4893398713355195	0	0	0
1.5751903	0	0.4893398713355195	0	0	0
1.5751903	0	0.44025248612317913	0	0	0
1.6991541	0	0.44025248612317913	0	0	0
1.6991541	0	0.3988350048502669	0	0	0
1.8209279	0	0.3988350048502669	0	0	0
1.8209279	0	0.363553446728897	0	0	0
1.9436571	0	0.363553446728897	0	0	0
1.9436571	0	0.33287383097118406	0	0	0
2.0670021	0	0.33287383097118406	0	0	0
2.0670021	0	0.3052621767892427	0	0	0
2.1904887	0	0.3052621767892427	0	0	0
2.1904887	0	0.28685440733461487	0	0	0
2.3310852	0	0.28685440733461487	0	0	0
2.3310852	0	0.26691265709210166	0	0	0
2.4555347	0	0.26691265709210166	0	0	0
2.4555347	0	0.25310683000113077	0	0	0
2.5792718	0	0.25310683000113077	0	0	0
2.5792718	0	0.24083498369804568	0	0	0
2.7038147	0	0.24083498369804568	0	0	0
2.7038147	0	0.2346990605465029	0	0	0
2.8245966	0	0.2346990605465029	0	0	0
2.8245966	0	0.22396119503130363	0	0	0
2.9497391	0	0.22396119503130363	0	0	0
2.9497391	0	0.2147573103039897	0	0	0
3.0743794	0	0.2147573103039897	0	0	0
3.0743794	0	0.20708740636456158	0	0	0
3.1994099	0	0.20708740636456158	0	0	0
3.1994099	0	0.20555342557667577	0	0	0
3.3375522	0	0.20555342557667577	0	0	0
3.3375522	0	0.20401944478879042	0	0	0
3.461507	0	0.20401944478879042	0	0	0
3.461507	0	0.19788352163724765	0	0	0
3.5859316	0	0.19788352163724765	0	0	0
3.5859316	0	0.19788352163724765	0	0	0
3.7109812	0	0.19788352163724765	0	0	0
3.7109812	0	0.1932815792735907	0	0	0
3.8352647	0	0.1932815792735907	0	0	0
3.8352647	0	0.19174759848570533	0	0	0
3.96024	0	0.19174759848570533	0	0	0
3.96024	0	0.19021361769781953	0	0	0
4.0839914	0	0.19021361769781953	0	0	0
4.0839914	0	0.19174759848570533	0	0	0
4.2089234	0	0.19174759848570533	0	0	0
4.2089234	0	0.19021361769781953	0	0	0
4.3319203	0	0.19021361769781953	0	0	0
4.3319203	0	0.19021361769781953	0	0	0
4.4567817	0	0.19021361769781953	0	0	0
4.4567817	0	0.19174759848570533	0	0	0
4.5806916	0	0.19174759848570533	0	0	0
4.5806916	0	0.19174759848570533	0	0	0
4.7045781	0	0.19174759848570533	0	0	0
4.7045781	0	0.19174759848570533	0	0	0
4.8294534	0	0.19174759848570533	0	0	0
4.8294534	0	0.19021361769781953	0	0	0
4.9505472	0	0.19021361769781953	0	0	0
4.9505472	0	0.19174759848570533	0	0	0
5.0733152	1	0.19174759848570533	0	1	0.04362383487585955
5.0733152	1	0.1948155600614765	0	1	0.04362383487585955
5.1965071	1	0.1948155600614765	0	1	0.05133615336080812
5.1965071	1	0.28838838812250067	0	1	0.05133615336080812
5.3208188	1	0.28838838812250067	0	1	0.27751891515938354
5.3208188	1	0.42491267824432244	0	1	0.27751891515938354
5.4445189	1	0.42491267824432244	0	1	0.576109426818642
5.4445189	1	0.5430291989115168	0	1	0.576109426818642
5.5692043	1	0.5430291989115168	0	1	0.8043632570571673
5.5692043	1	0.6672816427302539	0	1	0.8043632570571673
5.6920393	1	0.6672816427302539	0	1	1.014359492983072
5.6920393	1	0.7900001057611052	0	1	1.014359492983072
5.8160097	1	0.7900001057611052	0	1	1.1914552926845172
5.8160097	1	0.9157865303677282	0	1	1.1914552926845172
5.9401803	1	0.9157865303677282	0	1	1.3417199460653106
5.9401803	1	1.0400389741864648	0	1	1.3417199460653106
6.0643728	1	1.0400389741864648	0	1	1.4590841632216445
6.0643728	1	1.1658253987930873	0	1	1.4590841632216445
6.188917	1	1.1658253987930873	0	1	1.546445826058614
6.188917	1	1.2916118233997098	0	1	1.546445826058614
6.3142168	1	1.2916118233997098	0	1	1.6021630396649487
6.3142168	1	1.420466209582104	0	1	1.6021630396649487
6.4384375	1	1.420466209582104	0	1	1.6264276243295002
6.4384375	1	1.5477866149766122	0	1	1.6264276243295002
6.5610638	1	1.5477866149766122	0	1	1.6177870665754774
6.5610638	1	1.6751070203711205	0	1	1.6177870665754774
6.6855543	1	1.6751070203711205	0	1	1.576725537561811
6.6855543	1	1.8039614065535137	0	1	1.576725537561811
6.8093273	1	1.8039614065535137	-0.36853389004888365	1	1.5021600458070683
6.8093273	1	1.9297478311601362	-0.36853389004888365	1	1.5021600458070683
6.9327859	1	1.9297478311601362	-0.5539516615906909	1	1.397339565755547
6.9327859	1	2.0110488129180757	-0.5539516615906909	1	1.397339565755547
7.0564005	1	2.0110488129180757	-0.6326352058686748	1	1.3127533338360775
7.0564005	1	2.067806102069844	-0.6326352058686748	1	1.3127533338360775
7.1807463	1	2.067806102069844	-0.6767003289910956	1	1.245866754954633
7.1807463	1	2.112291544918528	-0.6767003289910956	1	1.245866754954633
7.3036423	1	2.112291544918528	-0.70676776290775	1	1.1889383113063308
7.3036423	1	2.1521750454035544	-0.70676776290775	1	1.1889383113063308
7.4265992	1	2.1521750454035544	-0.7310922993040258	1	1.1345340882085857
7.4265992	1	2.18899058431281	-0.7310922993040258	1	1.1345340882085857
7.5485758	1	2.18899058431281	-0.7517284352750148	1	1.0814910888800053
7.5485758	1	2.22427214243418	-0.7517284352750148	1	1.0814910888800053
7.6718488	1	2.22427214243418	-0.7701321777889228	1	1.028114516604181
7.6718488	1	2.2564857389797783	-0.7701321777889228	1	1.028114516604181
7.7952664	1	2.2564857389797783	-0.7859391131245244	1	0.9772051237145959
7.7952664	1	2.2886993355253766	-0.7859391131245244	1	0.9772051237145959
7.9198712	1	2.2886993355253766	-0.800933784916787	1	0.9242202992202054
7.9198712	1	2.3147770089194326	-0.800933784916787	1	0.9242202992202054
8.0429204	1	2.3147770089194326	-0.8125592334154057	1	0.8798077215493447
8.0429204	1	2.337786720737717	-0.8125592334154057	1	0.8798077215493447
8.1827965	1	2.337786720737717	-0.8125592334154057	1	0.8798077215493447
8.1827965	1	2.337786720737717	-0.8224854822590761	1	0.8394906664285837
8.3072319	1	2.3669323557075446	-0.8224854822590761	1	0.8394906664285837
8.3072319	1	2.3669323557075446	-0.8346724729793507	1	0.7869022959097409
8.3072319	1	2.3914760483137147	-0.8346724729793507	1	0.7869022959097409
8.4479925	1	2.3914760483137147	-0.8446488139850549	1	0.7412996179626693
8.4479925	1	2.416019740919885	-0.8446488139850549	1	0.7412996179626693
8.5736056	1	2.416019740919885	-0.8544072621220474	1	0.6944921543221054
8.5736056	1	2.4359614911623986	-0.8544072621220474	1	0.6944921543221054
8.6979082	1	2.4359614911623986	-0.8622039996697077	1	0.6555739725234304
8.6979082	1	2.4543692606170255	-0.8622039996697077	1	0.6555739725234304
8.8218204	1	2.4543692606170255	-0.8693169697899247	1	0.6189435678996826
8.8218204	1	2.4727770300716534	-0.8693169697899247	1	0.6189435678996826
8.9459302	1	2.4727770300716534	-0.8763682461935314	1	0.5816354713233436
8.9459302	1	2.4865828571626247	-0.8763682461935314	1	0.5816354713233436
