time	mode	theta	u	uh	h
0	0	0	0	0	0
0	0	2.7304858024364416	0	0	0
0.0988806	0	2.7304858024364416	0	0	0
0.0988806	0	2.693670263527186	0	0	0
0.2388409	0	2.693670263527186	0	0	0
0.2388409	0	2.233476027161494	0	0	0
0.3614673	0	2.233476027161494	0	0	0
0.3614673	0	1.877592484372025	0	0	0
0.4845439	0	1.877592484372025	0	0	0
0.4845439	0	1.5876701154616386	0	0	0
0.4845439	0	1.5876701154616386	0	0	0
0.6242282	0	1.5876701154616386	0	0	0
0.6242282	0	1.3115535736422235	0	0	0
0.7499389	0	1.3115535736422235	0	0	0
0.8741943	0	1.1060001480655473	0	0	0
0.8741943	0	1.1060001480655473	0	0	0
0.8741943	0	0.9464661461254407	0	0	0
0.9976421	0	0.9464661461254407	0	0	0
0.9976421	0	0.8160777791551612	0	0	0
1.120598	0	0.8160777791551612	0	0	0
1.120598	0	0.701029220063738	0	0	0
1.2440158	0	0.701029220063738	0	0	0
1.2440158	0	0.610524353578485	0	0	0
1.3829615	0	0.610524353578485	0	0	0
1.3829615	0	0.5276893910326605	0	0	0
1.5069994	0	0.5276893910326605	0	0	0
1.5069994	0	0.46786414030512047	0	0	0
1.6304571	0	0.46786414030512047	0	0	0
1.6304571	0	0.4233786974564371	0	0	0
1.7533163	0	0.4233786974564371	0	0	0
1.7533163	0	0.3834951969714102	0	0	0
1.8765526	0	0.3834951969714102	0	0	0
1.8765526	0	0.3512816004258119	0	0	0
1.999524	0	0.3512816004258119	0	0	0
1.999524	0	0.3221359654559848	0	0	0
2.1240242	0	0.3221359654559848	0	0	0
2.1240242	0	0.30066023442558576	0	0	0
2.2478529	0	0.30066023442558576	0	0	0
2.2478529	0	0.27765052260730094	0	0	0
2.3709432	0	0.27765052260730094	0	0	0
2.3709432	0	0.2638446955163305	0	0	0
2.4950403	0	0.2638446955163305	0	0	0
2.4950403	0	0.2500388684253596	0	0	0
2.6200448	0	0.2500388684253596	0	0	0
2.6200448	0	0.23623304133438872	0	0	0
2.7426684	0	0.23623304133438872	0	0	0
2.7426684	0	0.2285631373949606	0	0	0
2.8670406	0	0.2285631373949606	0	0	0
2.8670406	0	0.21782527187976086	0	0	0
2.9909482	0	0.21782527187976086	0	0	0
2.9909482	0	0.2147573103039897	0	0	0
3.1156844	0	0.2147573103039897	0	0	0
3.1156844	0	0.20708740636456158	0	0	0
3.2394876	0	0.20708740636456158	0	0	0
3.2394876	0	0.20401944478879042	0	0	0
3.364587	0	0.20401944478879042	0	0	0
3.364587	0	0.2009514832130188	0	0	0
3.4883683	0	0.2009514832130188	0	0	0
3.4883683	0	0.19788352163724765	0	0	0
3.6121703	0	0.19788352163724765	0	0	0
3.6121703	0	0.19788352163724765	0	0	0
3.7356707	0	0.19788352163724765	0	0	0
3.7356707	0	0.19021361769781953	0	0	0
3.8599768	0	0.19021361769781953	0	0	0
3.8599768	0	0.18867963690993372	0	0	0
3.9825181	0	0.18867963690993372	0	0	0
3.9825181	0	0.18867963690993372	0	0	0
4.1070945	0	0.18867963690993372	0	0	0
4.1070945	0	0.18867963690993372	0	0	0
4.2316225	0	0.18867963690993372	0	0	0
4.2316225	0	0.18867963690993372	0	0	0
4.3549301	0	0.18867963690993372	0	0	0
4.3549301	0	0.18867963690993372	0	0	0
4.4786819	0	0.18867963690993372	0	0	0
4.4786819	0	0.18867963690993372	0	0	0
4.6010376	0	0.18867963690993372	0	0	0
4.6010376	0	0.18867963690993372	0	0	0
4.7259019	0	0.18867963690993372	0	0	0
4.7259019	0	0.18867963690993372	0	0	0
4.8506192	0	0.18867963690993372	0	0	0
4.8506192	0	0.18867963690993372	0	0	0
4.9762517	0	0.18867963690993372	0	0	0
4.9762517	0	0.18867963690993372	0	0	0
5.1016424	1	0.18867963690993372	0	1	0.035892691614449045
5.1016424	1	0.1932815792735907	0	1	0.035892691614449045
5.2252097	1	0.1932815792735907	0	1	0.04748234721539088
5.2252097	1	0.28838838812250067	0	1	0.04748234721539088
5.3487088	1	0.28838838812250067	0	1	0.27751891515938354
5.3487088	1	0.42491267824432244	0	1	0.27751891515938354
5.4737247	1	0.42491267824432244	0	1	0.576109426818642
5.4737247	1	0.5445631796994026	0	1	0.576109426818642
5.5969658	1	0.5445631796994026	0	1	0.8071440509443177
5.5969658	1	0.6657476619423681	0	1	0.8071440509443177
5.7206575	1	0.6657476619423681	0	1	1.0119551946251377
5.7206575	1	0.7900001057611052	0	1	1.0119551946251377
5.8426208	1	0.7900001057611052	0	1	1.1914552926845172
5.8426208	1	0.9127185687919566	0	1	1.1914552926845172
5.9649127	1	0.9127185687919566	0	1	1.3384314500486536
5.9649127	1	1.0354370318228074	0	1	1.3384314500486536
6.0897125	1	1.0354370318228074	0	1	1.455287965075481
6.0897125	1	1.1627574372173157	0	1	1.455287965075481
6.2139677	1	1.1627574372173157	0	1	1.5446915493235138
6.2139677	1	1.2885438618239382	0	1	1.5446915493235138
6.338818	1	1.2885438618239382	0	1	1.6011805787647422
6.338818	1	1.4173982480063323	0	1	1.6011805787647422
6.4633534	1	1.4173982480063323	0	1	1.6262358040406482
6.4633534	1	1.5447186534008406	0	1	1.6262358040406482
6.5874454	1	1.5447186534008406	0	1	1.6183764745097495
6.5874454	1	1.6735730395832347	0	1	1.6183764745097495
6.7125462	1	1.6735730395832347	0	1	1.5774132087375665
6.7125462	1	1.8054953873413995	0	1	1.5774132087375665
6.8379387	1	1.8054953873413995	-0.2606622825332189	1	1.5010723481315202
6.8379387	1	1.9328157927359078	-0.2606622825332189	1	1.5010723481315202
6.9623348	1	1.9328157927359078	-0.49439109401417786	1	1.3943876483754423
6.9623348	1	2.0309905631605893	-0.49439109401417786	1	1.3943876483754423
7.0868336	1	2.0309905631605893	-0.611313607121709	1	1.2899868102407848
7.0868336	1	2.0938837754639	-0.611313607121709	1	1.2899868102407848
7.2121173	1	2.0938837754639	-0.6702283497939898	1	1.212974940477793
7.2121173	1	2.1414371798883547	-0.6702283497939898	1	1.212974940477793
7.3349918	1	2.1414371798883547	-0.7089858714189206	1	1.1494943409512555
7.3349918	1	2.1843886419491527	-0.7089858714189206	1	1.1494943409512555
7.4597718	1	2.1843886419491527	-0.7406039110643334	1	1.0882697089107074
7.4597718	1	2.2227381616462942	-0.7406039110643334	1	1.0882697089107074
7.58443	1	2.2227381616462942	-0.7665696635926667	1	1.03048700527318
7.58443	1	2.2564857389797783	-0.7665696635926667	1	1.03048700527318
7.7086198	1	2.2564857389797783	-0.7879044216974664	1	0.9772051237145959
7.7086198	1	2.2886993355253766	-0.7879044216974664	1	0.9772051237145959
7.8329333	1	2.2886993355253766	-0.8071108673126438	1	0.9242202992202054
7.8329333	1	2.3163109897073184	-0.8071108673126438	1	0.9242202992202054
7.9578115	1	2.3163109897073184	-0.822770173177875	1	0.8771528612334335
7.9578115	1	2.3408546823134886	-0.822770173177875	1	0.8771528612334335
8.0828261	1	2.3408546823134886	-0.8361259796471638	1	0.8340350537791898
8.0828261	1	2.362330413343887	-0.8361259796471638	1	0.8340350537791898
8.2055487	1	2.362330413343887	-0.8474123201390521	1	0.7953186714925344
8.2055487	1	2.3853401251621724	-0.8474123201390521	1	0.7953186714925344
8.3281149	1	2.3853401251621724	-0.8591211326145207	1	0.7528132361082017
8.3281149	1	2.4037478946167994	-0.8591211326145207	1	0.7528132361082017
8.4516296	1	2.4037478946167994	-0.8682212453661087	1	0.7180464843540748
8.4516296	1	2.423689644859313	-0.8682212453661087	1	0.7180464843540748
8.5743826	1	2.423689644859313	-0.8778288166671608	1	0.679617746743381
8.5743826	1	2.4390294527381693	-0.8778288166671608	1	0.679617746743381
8.6978744	1	2.4390294527381693	-0.8850513474293508	1	0.6495159670272921
8.6978744	1	2.4559032414049113	-0.8850513474293508	1	0.6495159670272921
8.8206188	1	2.4559032414049113	-0.8928362380122268	1	0.6158604439192876
8.8206188	1	2.4697090684958827	-0.8928362380122268	1	0.6158604439192876
8.9443189	1	2.4697090684958827	-0.8990867257047741	1	0.5879005493605509
8.9443189	1	2.4804469340110815	-0.8990867257047741	1	0.5879005493605509
