time	mode	theta	u	uh	h
0	0	0.18714565612204836	0	0	0
1.15E-05	0	0.18714565612204836	0	0	0
1.15E-05	0	0.18714565612204836	0	0	0
0.1382501	0	0.18714565612204836	0	0	0
0.1382501	0	0.18714565612204836	0	0	0
0.2641109	0	0.18714565612204836	0	0	0
0.2641109	0	0.18714565612204836	0	0	0
0.3888703	0	0.18714565612204836	0	0	0
0.3888703	0	0.18867963690993372	0	0	0
0.512228	0	0.18867963690993372	0	0	0
0.512228	0	0.18714565612204836	0	0	0
0.636371	0	0.18714565612204836	0	0	0
0.636371	0	0.18714565612204836	0	0	0
0.7590407	0	0.18714565612204836	0	0	0
0.7590407	0	0.18714565612204836	0	0	0
0.8824602	0	0.18714565612204836	0	0	0
0.8824602	0	0.18714565612204836	0	0	0
1.0064109	0	0.18714565612204836	0	0	0
1.0064109	0	0.18714565612204836	0	0	0
1.1304074	0	0.18714565612204836	0	0	0
1.1304074	0	0.18714565612204836	0	0	0
1.2539178	0	0.18714565612204836	0	0	0
1.2539178	0	0.18714565612204836	0	0	0
1.3777383	0	0.18714565612204836	0	0	0
1.3777383	0	0.18714565612204836	0	0	0
1.5014072	0	0.18714565612204836	0	0	0
1.5014072	0	0.18714565612204836	0	0	0
1.6243434	0	0.18714565612204836	0	0	0
1.6243434	0	0.18714565612204836	0	0	0
1.7479689	0	0.18714565612204836	0	0	0
1.7479689	0	0.18714565612204836	0	0	0
1.8714114	0	0.18714565612204836	0	0	0
1.8714114	0	0.18714565612204836	0	0	0
1.9949728	0	0.18714565612204836	0	0	0
1.9949728	0	0.18714565612204836	0	0	0
2.1203973	0	0.18714565612204836	0	0	0
2.1203973	0	0.18714565612204836	0	0	0
2.2436732	0	0.18714565612204836	0	0	0
2.2436732	0	0.18714565612204836	0	0	0
2.2436732	0	0.18714565612204836	0	0	0
2.3842061	0	0.18714565612204836	0	0	0
2.3842061	0	0.18714565612204836	0	0	0
2.5083137	0	0.18714565612204836	0	0	0
2.5083137	0	0.18714565612204836	0	0	0
2.6318167	0	0.18714565612204836	0	0	0
2.6318167	0	0.18714565612204836	0	0	0
2.7541865	0	0.18714565612204836	0	0	0
2.7541865	0	0.18714565612204836	0	0	0
2.8769903	0	0.18714565612204836	0	0	0
2.8769903	0	0.18714565612204836	0	0	0
3.0006902	0	0.18714565612204836	0	0	0
3.0006902	0	0.18714565612204836	0	0	0
3.1260315	0	0.18714565612204836	0	0	0
3.1260315	0	0.18714565612204836	0	0	0
3.2494028	0	0.18714565612204836	0	0	0
3.2494028	0	0.18714565612204836	0	0	0
3.3740242	0	0.18714565612204836	0	0	0
3.3740242	0	0.18714565612204836	0	0	0
3.4962879	0	0.18714565612204836	0	0	0
3.4962879	0	0.18714565612204836	0	0	0
3.6193052	0	0.18714565612204836	0	0	0
3.6193052	0	0.18714565612204836	0	0	0
3.7443778	0	0.18714565612204836	0	0	0
3.7443778	0	0.18714565612204836	0	0	0
3.8672259	0	0.18714565612204836	0	0	0
3.8672259	0	0.18714565612204836	0	0	0
3.9902979	0	0.18714565612204836	0	0	0
3.9902979	0	0.18714565612204836	0	0	0
4.1142672	0	0.18714565612204836	0	0	0
4.1142672	0	0.18714565612204836	0	0	0
4.2384597	0	0.18714565612204836	0	0	0
4.2384597	0	0.18714565612204836	0	0	0
4.3614913	0	0.18714565612204836	0	0	0
4.3614913	0	0.18714565612204836	0	0	0
4.4845065	0	0.18714565612204836	0	0	0
4.4845065	0	0.18714565612204836	0	0	0
4.6090274	0	0.18714565612204836	0	0	0
4.6090274	0	0.18714565612204836	0	0	0
4.7335629	0	0.18714565612204836	0	0	0
4.7335629	0	0.18714565612204836	0	0	0
4.8586641	0	0.18714565612204836	0	0	0
4.8586641	0	0.18714565612204836	0	0	0
4.9816001	0	0.18714565612204836	0	0	0
4.9816001	0	0.18714565612204836	0	0	0
5.1052997	1	0.18714565612204836	0	1	0.03202006069257211
5.1052997	1	0.19174759848570533	0	1	0.03202006069257211
5.2306038	1	0.19174759848570533	0	1	0.04362383487585955
5.2306038	1	0.28532042654672907	0	1	0.04362383487585955
5.366458	1	0.28532042654672907	0	1	0.2703807523564889
5.366458	1	0.43565054375952217	0	1	0.2703807523564889
5.4900807	1	0.43565054375952217	0	1	0.5980127925803699
5.4900807	1	0.5537670644267165	0	1	0.5980127925803699
5.6142024	1	0.5537670644267165	0	1	0.8237299841907998
5.6142024	1	0.6780195082454532	0	1	0.8237299841907998
5.7383984	1	0.6780195082454532	0	1	1.0310578080533828
5.7383984	1	0.8022719520641903	0	1	1.0310578080533828
5.8636779	1	0.8022719520641903	0	1	1.2075082923261098
5.8636779	1	0.926524395882927	0	1	1.2075082923261098
5.9856372	1	0.926524395882927	0	1	1.3530814370089794
5.9856372	1	1.0507768397016646	0	1	1.3530814370089794
6.109263	1	1.0507768397016646	0	1	1.467777242101993
6.109263	1	1.176563264308287	0	1	1.467777242101993
6.2341495	1	1.176563264308287	0	1	1.5524375495168352
